case_id,ai_root_cause,ai_confidence,human_verdict,corrected_root_cause,human_notes
C011,"Interface Vlan50 lacks a properly configured IPv6 address, preventing a connected IPv6 route from entering the routing table and preventing Router Advertisements from being generated.",90,Rejected,"Router advertisements are being suppressed (ipv6 nd ra suppress) or router IPv6 forwarding is misconfigured, so SLAAC-based hosts never learn a working default gateway.",AI blamed a missing IPv6 address on the interface; ground truth is RA (Router Advertisement) suppression -- different root mechanism.
C012,"The VLAN 60 interface (SVI) on the router is missing an 'ip helper-address' configuration, preventing DHCP broadcast requests from clients in VLAN 60 from being relayed to the centralized DHCP server in VLAN 10.",95,Accepted,,
C013,"Packet fragmentation is failing because large packets (1500 bytes) exceed the GRE tunnel MTU (1476 bytes) and have the Don't Fragment (DF) bit set, causing the router to drop them when Path MTU Discovery is broken.",95,Accepted,,
C014,"A bridging loop was created by connecting an unmanaged switch to two wall jacks on the same VLAN, and the lack of BPDU guard on the access ports allowed the loop to form and cause broadcast storms and frequent topology changes.",95,Accepted,,
C015,"The internal DNS server is configured with a decommissioned secondary DNS server (10.10.5.6) in its forwarder list, causing a 5-10 second delay while waiting for queries to timeout before succeeding via the working path.",95,Edited,Stale forwarder/secondary DNS server entry pointing to a decommissioned host is causing every query to time out against it before falling through to a working resolver.,"Root cause correct. AI added an unverified specific detail (""decommissioned last month"") not present anywhere in the evidence."
C016,"An explicit 'deny tcp any any eq 1521' rule exists in the access list placed before a general permit rule, blocking the custom database port 1521 traffic while allowing ping, HTTP, and HTTPS.",100,Accepted,,
C017,"IP address space overlap between the two branch offices causes routing failure; both networks use 192.168.1.0/24 internally, so the router cannot distinguish between local traffic and remote traffic for that subnet.",95,Accepted,,
C018,"A native VLAN mismatch exists on the trunk link between SW1 (Native VLAN 1) and SW2 (Native VLAN 10), causing untagged traffic from VLAN 1 on one side to bleed over into VLAN 10 on the other side.",100,Accepted,,
C019,OSPF neighbor adjacency is stuck in the EXSTART/EXCHANGE state because R1 and R2 have mismatched MTU settings on their connecting interfaces.,95,Accepted,,
C020,"R1 and R2 are configured with mismatched EIGRP AS numbers (R1 uses AS 100 and R2 uses AS 200), preventing them from establishing neighbor adjacencies.",100,Accepted,,
C021,The DHCP scope for VLAN 70 is exhausted (all 50 addresses are in use) because the pool size is too small to support the 60+ daily users and guest devices during peak hours.,100,Accepted,,
C022,Co-channel interference caused by an unauthorized personal Wi-Fi router operating on the same channel (channel 6) with a strong signal in the west side of the office.,95,Accepted,,
C023,"The employee's device is using an outdated Wi-Fi password that was rotated last week, while other devices have been updated with the new shared WPA2-PSK.",95,Edited,"The employee's device still has the old, pre-rotation Wi-Fi password saved and hasn't been updated with the new shared PSK.","Root cause is a reasonable inference but not directly evidenced -- evidence only shows repeated PSK-mismatch failures for one device, never confirms *why* (stale password vs. typo vs. wrong SSID)."
C024,"The uplink interface lacks a QoS policy to prioritize voice traffic, causing VoIP packets to be dropped or delayed in the buffer (bufferbloat) when interface utilization hits 100% during large file uploads.",95,Accepted,,
C025,"The device ports were incorrectly configured as community ports instead of isolated ports, allowing the devices to communicate directly with each other and bypassing the intended isolation policy.",95,Accepted,,
C026,"The uplink port connecting the new switch to the main switch is configured as a static access port instead of an 802.1Q trunk, meaning traffic from VLAN 20 is not being carried beyond the new switch.",100,Accepted,,
C027,"The internal DNS server serving office employees has an outdated A record for wiki.company.com pointing to the decommissioned internal server IP (10.10.9.9), while the external/VPN DNS server correctly points to the cloud-hosted IP.",95,Accepted,,
C028,"The NAT ACL configured on the router is too broad ('permit ip any any'), causing internal traffic between servers on different VLANs to be unexpectedly translated instead of bypassed.",100,Accepted,,
C029,An IP address conflict is occurring on the VLAN because a manually assigned static IP address on a new PC overlaps with an active IP address (10.10.2.50) already in use by another PC.,95,Accepted,,
C030,"The PC was configured with an incorrect subnet mask (/28 or 255.255.255.240 instead of /24 or 255.255.255.0), which restricts its direct local subnet communication to only IPs between 10.10.4.48 and 10.10.4.63.",100,Edited,"An incorrect (too narrow) subnet mask on the PC makes it think most of its own VLAN is on a different network, so it tries to route to those devices via the gateway instead of talking to them directly, and fails.","Subnet math is correct. AI claimed the PC ""can only successfully communicate"" within the /28 range; only a single failed ping outside that range was shown, no successful ping inside it was captured as evidence."
C031,"Traffic from VLAN 80 to VLAN 10 is blocked by two simultaneous issues: VLAN 80 is missing from the allowed VLAN list on the trunk link between the access switch and the core switch, and the router's ACL on VLAN 80's interface explicitly permits traffic only to VLAN 20, denying VLAN 10.",100,Accepted,,
C032,"VLAN 90 is failing to provide DHCP addresses because its router interface lacks an ip helper-address, and static communication to VLAN 10 fails because the router is missing a route for the VLAN 10 subnet.",100,Accepted,,
C033,"The branch router's NAT overload translation table filled up during a traffic spike, and a recently added overly broad ACL is blocking legitimate return traffic for users.",95,Edited,"NAT/PAT table exhaustion during a traffic spike caused temporary failures, and a separately overly broad ACL (meant to block one malicious IP but matching a huge range) blocks legitimate return traffic for a subset of users even after NAT load drops.","AI stated NAT translations were ""near limit"" with no stated threshold in evidence, and asserted the ACL was written for an ""intended /32"" (an inferred authoring intent not present in the evidence). Root cause (NAT exhaustion + overly broad ACL) is correct."
C034,"A duplex mismatch exists between the user's PC network card (configured for 100 Mbps full-duplex) and the switch port (auto-negotiated to 100 Mbps half-duplex), causing severe packet corruption evidenced by late collisions and runts.",95,Accepted,,
C035,"The laptop has been statically configured with an incorrect default gateway IP address (10.10.6.99 instead of the actual router interface 10.10.6.1), preventing it from routing traffic outside of its local subnet.",100,Accepted,,
